section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
research_support_features,cohort_identification,cohort identification,,,,query_interface,自然语言查询界面
research_support_features,cohort_identification,cohort identification,,,,inclusion_criteria,基于知识图谱的智能筛选
research_support_features,cohort_identification,cohort identification,,,,exclusion_criteria,禁忌症和共病排除
research_support_features,cohort_identification,cohort identification,,,,sample_size_calculation,统计功效分析
research_support_features,outcome_tracking,outcome tracking,,,,primary_endpoints,主要终点事件监测
research_support_features,outcome_tracking,outcome tracking,,,,secondary_endpoints,次要终点追踪
research_support_features,outcome_tracking,outcome tracking,,,,adverse_events,不良事件记录和分析
research_support_features,outcome_tracking,outcome tracking,,,,biomarker_trends,生物标志物趋势分析
research_support_features,data_analytics,data analytics,,,,descriptive_statistics,描述性统计分析
research_support_features,data_analytics,data analytics,,,,survival_analysis,生存分析和风险建模
research_support_features,data_analytics,data analytics,,,,machine_learning,预测模型构建
research_support_features,data_analytics,data analytics,,,,causal_inference,因果关系推断
research_support_features,hypothesis_generation,hypothesis generation,,,,pattern_discovery,数据模式发现
research_support_features,hypothesis_generation,hypothesis generation,,,,association_mining,关联规则挖掘
research_support_features,hypothesis_generation,hypothesis generation,,,,literature_integration,文献证据整合
research_support_features,hypothesis_generation,hypothesis generation,,,,research_suggestions,研究方向建议
